"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2099","User login with wrong email or password [  / password]","tests.auth","Sat Oct 25 14:45:43 GMT 2025","passed","Sat Oct 25 14:45:45 GMT 2025","TestLogin","test_login","",""
"","2103","Dashboard displaying","tests.dashboard","Sat Oct 25 14:45:39 GMT 2025","passed","Sat Oct 25 14:45:41 GMT 2025","TestDashboard","test_dashboard","",""
"","1934","User login with wrong email or password [user.name@gmail.com /  ]","tests.auth","Sat Oct 25 14:45:43 GMT 2025","passed","Sat Oct 25 14:45:45 GMT 2025","TestLogin","test_login","",""
"","3837","User login with valid credentials","tests.auth","Sat Oct 25 14:45:28 GMT 2025","passed","Sat Oct 25 14:45:32 GMT 2025","TestLogin","test_login","",""
"","1731","Empty course list displaying","tests.courses","Sat Oct 25 14:45:30 GMT 2025","passed","Sat Oct 25 14:45:32 GMT 2025","TestCourses","test_courses","",""
"","1968","Dashboard displaying","tests.dashboard","Sat Oct 25 14:45:54 GMT 2025","passed","Sat Oct 25 14:45:56 GMT 2025","TestDashboard","test_dashboard","",""
"","1563","Successfull registration","tests.auth","Sat Oct 25 14:45:51 GMT 2025","passed","Sat Oct 25 14:45:53 GMT 2025","TestRegistration","test_registration","",""
"","1872","User login with wrong email or password [  / password]","tests.auth","Sat Oct 25 14:45:23 GMT 2025","passed","Sat Oct 25 14:45:24 GMT 2025","TestLogin","test_login","",""
"","3177","Create course","tests.courses","Sat Oct 25 14:45:54 GMT 2025","passed","Sat Oct 25 14:45:57 GMT 2025","TestCourses","test_courses","",""
"","1963","User login with wrong email or password [user.name@gmail.com / password]","tests.auth","Sat Oct 25 14:45:23 GMT 2025","passed","Sat Oct 25 14:45:24 GMT 2025","TestLogin","test_login","",""
"","1325","User login with wrong email or password [user.name@gmail.com /  ]","tests.auth","Sat Oct 25 14:45:25 GMT 2025","passed","Sat Oct 25 14:45:27 GMT 2025","TestLogin","test_login","",""
"","1425","Empty course list displaying","tests.courses","Sat Oct 25 14:45:52 GMT 2025","passed","Sat Oct 25 14:45:53 GMT 2025","TestCourses","test_courses","",""
"","1948","User login with valid credentials","tests.auth","Sat Oct 25 14:45:48 GMT 2025","passed","Sat Oct 25 14:45:50 GMT 2025","TestLogin","test_login","",""
"","4081","Create course","tests.courses","Sat Oct 25 14:45:33 GMT 2025","passed","Sat Oct 25 14:45:37 GMT 2025","TestCourses","test_courses","",""
"","1999","Successfull registration","tests.auth","Sat Oct 25 14:45:36 GMT 2025","passed","Sat Oct 25 14:45:38 GMT 2025","TestRegistration","test_registration","",""
"","2240","User login with wrong email or password [user.name@gmail.com / password]","tests.auth","Sat Oct 25 14:45:40 GMT 2025","passed","Sat Oct 25 14:45:42 GMT 2025","TestLogin","test_login","",""
"","1825","Navigate from login page to registration page","tests.auth","Sat Oct 25 14:45:46 GMT 2025","passed","Sat Oct 25 14:45:47 GMT 2025","TestLogin","test_login","",""
"","2113","Navigate from login page to registration page","tests.auth","Sat Oct 25 14:45:33 GMT 2025","passed","Sat Oct 25 14:45:35 GMT 2025","TestLogin","test_login","",""
