"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1755","Empty course list displaying","tests.courses","Sat Oct 25 14:44:28 GMT 2025","passed","Sat Oct 25 14:44:30 GMT 2025","TestCourses","test_courses","",""
"","1715","Navigate from login page to registration page","tests.auth","Sat Oct 25 14:44:24 GMT 2025","passed","Sat Oct 25 14:44:25 GMT 2025","TestLogin","test_login","",""
"","1979","Navigate from login page to registration page","tests.auth","Sat Oct 25 14:44:05 GMT 2025","passed","Sat Oct 25 14:44:07 GMT 2025","TestLogin","test_login","",""
"","2204","User login with valid credentials","tests.auth","Sat Oct 25 14:44:24 GMT 2025","passed","Sat Oct 25 14:44:27 GMT 2025","TestLogin","test_login","",""
"","2702","Dashboard displaying","tests.dashboard","Sat Oct 25 14:44:14 GMT 2025","passed","Sat Oct 25 14:44:17 GMT 2025","TestDashboard","test_dashboard","",""
"","1969","Successfull registration","tests.auth","Sat Oct 25 14:44:08 GMT 2025","passed","Sat Oct 25 14:44:10 GMT 2025","TestRegistration","test_registration","",""
"","1750","User login with wrong email or password [user.name@gmail.com / password]","tests.auth","Sat Oct 25 14:44:00 GMT 2025","passed","Sat Oct 25 14:44:02 GMT 2025","TestLogin","test_login","",""
"","3174","Create course","tests.courses","Sat Oct 25 14:44:31 GMT 2025","passed","Sat Oct 25 14:44:34 GMT 2025","TestCourses","test_courses","",""
"","1871","Successfull registration","tests.auth","Sat Oct 25 14:44:28 GMT 2025","passed","Sat Oct 25 14:44:30 GMT 2025","TestRegistration","test_registration","",""
"","1752","User login with wrong email or password [user.name@gmail.com /  ]","tests.auth","Sat Oct 25 14:44:20 GMT 2025","passed","Sat Oct 25 14:44:21 GMT 2025","TestLogin","test_login","",""
"","1510","Empty course list displaying","tests.courses","Sat Oct 25 14:44:10 GMT 2025","passed","Sat Oct 25 14:44:11 GMT 2025","TestCourses","test_courses","",""
"","1718","User login with wrong email or password [user.name@gmail.com /  ]","tests.auth","Sat Oct 25 14:44:03 GMT 2025","passed","Sat Oct 25 14:44:04 GMT 2025","TestLogin","test_login","",""
"","1796","Dashboard displaying","tests.dashboard","Sat Oct 25 14:44:31 GMT 2025","passed","Sat Oct 25 14:44:33 GMT 2025","TestDashboard","test_dashboard","",""
"","5064","Create course","tests.courses","Sat Oct 25 14:44:12 GMT 2025","passed","Sat Oct 25 14:44:17 GMT 2025","TestCourses","test_courses","",""
"","3009","User login with valid credentials","tests.auth","Sat Oct 25 14:44:05 GMT 2025","passed","Sat Oct 25 14:44:08 GMT 2025","TestLogin","test_login","",""
"","1869","User login with wrong email or password [user.name@gmail.com / password]","tests.auth","Sat Oct 25 14:44:19 GMT 2025","passed","Sat Oct 25 14:44:20 GMT 2025","TestLogin","test_login","",""
"","1603","User login with wrong email or password [  / password]","tests.auth","Sat Oct 25 14:44:21 GMT 2025","passed","Sat Oct 25 14:44:23 GMT 2025","TestLogin","test_login","",""
"","1874","User login with wrong email or password [  / password]","tests.auth","Sat Oct 25 14:44:00 GMT 2025","passed","Sat Oct 25 14:44:02 GMT 2025","TestLogin","test_login","",""
